Timestamp,What is your gender?,What's your age? (please enter as a number),Name of the professor you'd like to review?,Course Name? (ex: Comp Sci 61A),Professor's Gender,Write a constructive and honest review of the professor.
7/7/2020 21:57:44,Female,,john denero,cs 61a,Male,he is a very good lecturer! good at answering questions and also getting back to you if you have any concerns about the class
7/7/2020 21:58:06,Female,,Nicholas Mattews,Music 27,Male,"Anyone can tell that he's very knowledgeable and cares about the subject. He also clearly cares about his students by accommodating to any feedback, creating extra office hours, and just being a friendly person. "
7/7/2020 22:03:22,Female,,Eric Siegel,Nature and Human Studies,Male,"never gets grading done. we turned in an essay two months before the end of the semester and we never got it back, we STILL wrote another essay after that one tho. we also did a lot of busy work which he would barely grade. he was a kind dude but damn, grade? don’t know her."
7/7/2020 22:24:22,Male,19,Denero,Ssssssssssixty one A,Male,10/10 would take again
7/7/2020 23:30:08,Male,18,Seth Lunine,Geography 70AC,Male,"This man really knew what he was talking about. Might have had a boring style, but the amount I learned in his class was truly unapproachable. He should be nominated for one of the most knowledgeable teachers of his era. "
7/7/2020 23:36:50,Female,19,Arman Catterson,Psych 101,Male,Super chill professor. Handled the transition to online school last semester very well and makes every effort to be understanding of student situations. Was somehow able to make the 3 hour omg lecture bearable and taught in a clear way breaking down difficult concepts into manageable bites.
7/8/2020 0:38:16,Male,20,Ken Ribet,Math 110,Male,"Professor Ribet is a mathematician who's an expert in his field. He led the way for the proof of Fermat's Last Theorem -- though he wasn't the actual one to prove it. In his class, we are all scholars and no question is a stupid one. On the very first lecture of Math 110 I had with him, he asked all 200 of us in his class to write a paragraph about who we are and why we enjoy math. The next class meeting, he responded with a personalized message to every one of us regarding our self biography. He tries hard to remember every one of his students' names, and he sets up faulty brunches with students to have some one-on-one time to talk with us. Incredibly approachable, he wants us to succeed, he BELIEVES we will succeed, and he's a master of his art and incredibly renowned in his field. He also is good friends with Axler, the author of the textbook for Math 110. Aaaaaand he's the first math professor I've known that always drinks a glass of wine during our Zoom lectures. He's a great person and a brilliant professor. "
7/8/2020 1:33:00,Female,19,Omar Hernandez Javier ,UGBA 146,Male,"Really helpful and accommodating. He values understanding in a way not limited to numbers, but rather discuss the content with students so to provoke them to think rather than simply memorizing materials. He is always so cheerful and invites open discussion on anything from 'is anyone getting married today' to curriculum concepts.He is always so cheerful and happy whenever he greets students - great attitude. "
7/9/2020 21:20:51,Male,19,Paul Hilfinger,Comp Sci 61B,Male,"Professor Hilfinger is clearly knowledgeable about the subject matter of the course, but is very non engaging in lecture. He is so unentertaining that in a class of over 1000 students, he managed to turn a full lecture hall at the beginning of the semester into a near empty lecture hall by the middle of it. As someone who went to many lectures, his lectures are pretty dense and hard to follow and I witnessed a lot of students falling asleep. Thus, the projects and other assignments are the main source of learning in this class are challenging but rewarding. In the end, the class is manageable if you reach out to support such as friends taking the class or potentially going to office hours and project parties. Even if not from the lecture or Hilfinger himself, I did learn a lot in this class about programming and data structures and how to build a programs from scratch.  "
7/9/2020 21:32:47,Female,19,Kevin Van Houston ,ESL 006B,Male,"He was the amazing professor and teaches the class that was step by step in his class. However, he has to responsible the grade, assignment, and exam for his student also. I love that proffessor for the year in Elac."
7/9/2020 21:38:09,Female,20,McClendon ,EMS20,Female,The most badass motherfucker who ever did live 
7/9/2020 21:42:27,Male,21,Adam Perry,COMM-128,Male,Dr. Perry was Awesome!  He was very knowledgeable and passionate about the subject and always had ways of making class fun!  I never felt like the class was ever impossible and he made me want to do well
7/9/2020 21:45:07,Female,19,P. T.,Statistics ,Female,"Caring and flexible. First time to teach at our university + online due to the pandemic, but prepares self-explanatory powerpoints and adjust assignment amounts and grading systems flexibly according to our requests."
7/9/2020 21:45:17,Female,22,Dr. McGinnis,general Genetics PCB3063,Female,"Professor was un-accommodating during COVID-19, considering this course was 6 weeks long over the summer. She would not answer students questions in depth and would refer to the book for us students to learn and to teach ourselves. Her lectures were pre-recorded and class time was spent for asking questions which she never went into great detail about the material. Exams were hard because there was so much information to study in such a little bit of time (6 weeks) and she did not provide any help on what to study for/ how to study. She would just reference the book and sample videos online. Worst professor I ever had. Even  emailed her about a conflict I had with one of her exam dates before class even started and she told me that if I was not available to take the exam at that exact time and date then I should consider dropping the course. Mind you the class hasn’t even started yet."
7/9/2020 21:59:30,Female,21,Munir Humayun,GLY 3039,Male,"His teaching was dynamic, appealing to multiple styles of learning while still being easy to understand. Although, the class required the student to put forth effort into their own individual study, Professor Humayun did his best to ensure that students did well in his class. Really an all around wonderful person and professor."
7/9/2020 22:07:34,Female,29,Soleymani,Math54,Male,Good!
7/9/2020 22:07:58,Male,22,Misaghi,English2,Female,Easy A!
7/9/2020 22:08:26,Male,18,Cordeiro ,Chem10,Female,Lovely!
7/9/2020 22:08:55,Female,37,Bolandhemat,Comp Sci,Female,Hard but interesting at the same time
7/9/2020 22:09:28,Male,22,Vishwanadha,English1,Male,Horrible
7/9/2020 22:22:51,Female,35,Dr. Davey,Sociology,Female,The best Professor and Chair of Sociology Dept 
7/9/2020 22:36:30,Female,20,Balabainian ,BIO40A ,Female,Prof Balabanian really cared about all of her students and did not have any favorites. She clearly wanted every student to succeed in her class. She made sure she helped everybody have the materials they needed to do well in exams and was communicative 
7/9/2020 22:50:57,Female,18,Mrs. Holly Wenham,Calc I,Female,She is a very nice person who makes learning in the classroom very easy. She uses many examples and always makes sure to go over questions.
7/9/2020 23:12:05,Female,21,Austin Wilkes ,ITA1101 and ITA1102,Female,"Austin Wilkes is one of the best professors I've had at FSU. She doesn't punish mistakes but uses them to teach us how to better understand Italian. She uses several different methods of teaching to help everyone understand. For example, if someone is a visual learner, she'll make a chart for them or get them a picture example. If they are an audio learner, she finds songs or videos in Italian to help us hear how the language flows. She goes over each quiz and test to help us where we struggle. She's very understanding and genuinely wants to help students learn Italian. "
7/9/2020 23:14:22,Male,20,Sahai,EE16B,Male,Cares a lot about students learning important stuff. Doesn't know how to express it in an empathetic or reflective way.
7/9/2020 23:29:56,Female,32,Dr.Stone,english composition,Female,She was inspiring in her love for literature.  She was so passionate about what she taught and so encouraging if her students. I measured all other teachers by her standard of excellence. 
7/9/2020 23:33:30,Male,19,John DeNero,Comp Sci 61A,Male,"Very engaging teacher that really as a passion for what he teaches. He managers such a large class very well, but I believe does not always have the best control over TA’s. Although most are great, he (or others from his department) have also chosen ones that are clearly unfit for the role. I believe he could also improve by taking more students in to account when determining difficulty of certain activities, instead of making unnecessarily difficult papers that only a few highly experienced CS students are able to achieve."
7/9/2020 23:35:55,Male,19,Michael Mahoney,Stat 89A,Male,"He was very careless with the class. He could focus more on quicker replies, and better structure overall."
7/9/2020 23:39:42,Female,20,Lilla Balint,German 156,Female,"She is very good in encouraging students to participate and a good leader of group discussions, however she lacks some organizational skills and confused me sometimes"
7/9/2020 23:43:53,Male,18,Emiliano Gomez,Math 53,Male,"He was a very decent professor but spoke too fast during lectures: it was hard to keep up. But over recorded lectures, it was possible to pause and absorb what he was saying and it made a lot more sense. He uses good examples and is very fair, but exams were tough"
7/10/2020 0:19:57,Male,20,Pantelis Vassilakis,Reca 220,Male,Extremely knowledgeable professor that does a good job simplifying complex concepts. Also extremely accessible for additional help and a cool guy who is easy to have a conversation with. 
7/10/2020 0:27:41,Male,18,Kelli Talaska,Math 53,Female,"Professor Talaska does not seem to care much about the well-being of her students, but I think she is an effective lecturer despite what many people say and I have learned Multivariable/Vector Calculus to a satisfying degree."
7/10/2020 0:33:17,Male,19,Richard Saykally,Chem 4B,Male,"He was a disaster. He spent way to much time on things that weren’t important or even about chemistry. He should’ve spent more time with examples and making sure we understood what he was teaching. Also, he made a midterm specific for us to fail."
7/10/2020 0:34:30,Female,18,Helen Bateup,MCB 165,Female,"I had Professor Bateup for neurobiology of disease. She explains the materials very clearly and presents everything in an engaging manner. The materials were very complex, but she makes it easy to understand."
7/10/2020 0:49:42,Female,26,Nadine Bermudez ,Chicano/a 47,Female,Passionate and cared for students success but was rude and not really opened to hear students opinions which made me feel anxious to participate in fear that she would shame me in front of the class. Although she came off rude she definitely lectured well I just wish she was a little friendly. 
7/10/2020 1:10:02,Male,19,Lane Martin,MAT SCI 45/45L,Male,"Lane Martin is an engaging and friendly professor, with a great level on knowledge on the topics he teaches, as well as interesting ideas that he can add based on his experience and research. Despite his assignments and exams being somewhat challenging, his class was extremely interesting and we gained a great deal of introductory knowledge to the field. "
7/10/2020 1:28:49,Female,18,Professor Lionelle,CS 150,Male,"Every lecture was intriguing and fun to attend. He found a way to make learning each concept fun and interactive, which thereby made it easier for the class to grasp the difficult concepts of beginning computer science. He gave inspirational talks that involved stories about how computer science is being used to create so many new concepts today. I think he was overalls my favorite professor. However, he did focus a lot on the history of computer science and it would’ve helped to spend more time learning harder to learn concepts in the class such as class inheritance and 2-D arrays."
7/10/2020 1:31:18,Female,18,Sara Magrin ?,Classic 36,Female,"Was very intense, very informed, very interesting, very Italian. I loved her class"
7/10/2020 1:48:21,Female,19,Poulomi Saha,English 80K,Female,"She was charismatic and engaging in person and still so understanding and great when we transitioned to remote learning. She may have been teaching an English class, but what we discussed impacted my thoughts and beliefs outside of class too in a larger context like gender, sexuality, politics, etc. "
7/10/2020 1:51:25,Female,18,Yukiko Hunter,Public Speaking,Female,"Her class was one that was extremely stressful for me because we had to present in front of the class, but the way she built a safe and comfortable space in the classroom really helped and I really appreciate her because of it."
