id,last_name,first_name,department,url
0,DeNero,John,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1621181
1,Garcia,Dan,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=142865
2,Hilfinger,Paul,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=226535
3,Harvey,Brian,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=149874
4,Lavian,Tal,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1813887
5,Rao,Satish,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=525740
6,Shewchuk,Jonathan,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=246561
7,Tygar,Doug,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=58858
8,Clancy,Mike,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=413001
9,O'Brien,James,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=558845
10,Wagner,David,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1140852
11,Vazirani,Umesh V.,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=895924
12,Katz,Randy,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=927729
13,Hug,Josh,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2039180
14,Weaver,Nicholas,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2374426
15,Kamil,Amir,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1813796
16,Papadimitriou,Christos,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=632001
17,Rector,Jamie,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=609095
18,Klein,Daniel,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=814582
19,Patterson,Dave,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=244717
20,Sinclair,Alistair,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1052288
21,Canny,John,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=597026
22,Culler,David,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1081657
23,Vikram,Sharad,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1749970
24,Jordan,Michael,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=521380
25,Wawrzynek,John,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=853551
26,Hellerstein,Joesph,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1191146
27,Malik,Jitendra,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=679384
28,Sen,Koushik,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1135281
29,Necula,George,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1675271
30,Seshia,Sanjit,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1700176
31,Asanovic,Krste,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1881116
32,Paulos,Eric,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1882116
33,Xu,M,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1270673
34,Wang,Courtney,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1569412
35,Schultz,David,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=424076
36,Paxson,Bill,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=984468
37,Paxson,Vern,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=984469
38,Song,Dawn,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1138165
39,Keutzer,Kurt,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1700175
40,Seshia,Sanjit,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1700176
41,Asanovic,Krste,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1881116
42,Paulos,Eric,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1882116
43,Liu,Chunlei,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2249991
44,Zafar,Naeem,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2333409
45,Xu,M,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1270673
46,Wang,Courtney,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1569412
47,Abbeel,Pieter,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1981669
48,Karandikar,Sagar,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2035337
49,Savage,Valkyrie,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2048623
50,Ng,Ren,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2135951
51,Dragan,Anca,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2264457
52,Ramchandran,Kannan,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2496563
53,Schultz,David,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=424076
54,Paxson,Bill,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=984468
55,Paxson,Vern,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=984469
56,Song,Dawn,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1138165
57,Keutzer,Kurt,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1700175
58,Stoica,Ion,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1819236
59,Darrell,Trevor,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1842717
60,Ayazifar,Babak,Electrical Engineering,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=761773
61,Sahai,Anant,Electrical Engineering,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=887794
62,Boser,Bernhard,Electrical Engineering,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=638447
63,Chang - Hasnain,Connie,Electrical Engineering,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=631981
64,Ranade,Gireeja,Electrical Engineering,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2369550
65,Maharbiz,Michel,Electrical Engineering,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1210530
66,Neureuther,Andrew,Electrical Engineering,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=730546
67,Tse,David,Electrical Engineering,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=603924
68,Yablonovitch,Eli,Electrical Engineering,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1126808
